abc80;abc80;flop1;
adam;adam;cass;
advision;advision;cart;
alice32;alice32;cass;
apfm1000;apfm1000;cart;
apple2;apple2ee;flop1;
apple2gs;apple2gs;flop1;
aquarius;aquarius;cart1;
arcadia;arcadia;cart;
archimedes;aa4401;flop;
astrocde;astrocde;cart;
atom;atom;flop1;'\n*DOS\n*DIR\n*CAT\n*RUN"'
bbc;bbcb;flop1;
beena;beena;cart;
bk001001;bk001001;cass;
bml3;bml3;cass;
camplynx;lynx128k;cass;'mload""'
casloopy;casloopy;cart;
cave;;;
cdi;cdimono1;cdrm;
cgenie;cgenie;cass;
coco;coco3;cart;
cpc464p;amstrad;flop1;
crvision;crvision;cart;
digiblst;digiblst;cart;
dragon32;dragon32;cass;'cloadm\n'
electron;electron64;cass;'*T.\nCH.""\n'
ep128;ep128;cart;
exl100;exl100;cart;
fm7;fm7;flop1;
fmtowns;fmtmarty;cdrm;
gaelco;;;
galaxy;galaxy;cass;
gamate;gamate;cart;
gameandwatch;;;
gamecom;gamecom;cart1;
gamekin3;gamekin3;cart;
gamepock;gamepock;cart;
gmaster;gmaster;cart;
gp32;gp32;memc;
hec2hr;hec2hr;cass;
hyprscan;hyprscan;cdrm;
ibmpcjr;ibmpcjr;flop;
jupace;jupace;dump;
konamilcd;;;
laser310;laser310;dump;
lcdgames;;;
m24;m24;flop1;
m5;m5;cart1;
macintosh;maclc3;flop1;
mbee;mbee;quik;
megaduck;megaduck;cart;
microvsn;microvsn;cart;
mononcol;mononcol;cart;
mpu1000;mpu1000;cart;
mtx512;mtx512;dump;
myvision;myvision;cart;
n501;n501;;
neogeo64;;;
oric1;oric1;cass;'cload\"\"\n'
p2000t;p2000t;cass;'cloadm\n'
pdp1;pdp1;ptap1;
pecom64;pecom64;cass;
pegasus;pegasus;rom1;
pippin;pippin;cdrm;
plugnplay;;;
pockstat;pockstat;cart;
pv1000;pv1000;cart;
pv2000;pv2000;cart;
rx78;rx78;cart;
segastv;;;
snotec;snotec;cart;
socrates;socrates;cart;
sorcerer;sorcerer;cass1;
studio2;studio2;cart;
supracan;supracan;cart;
sv8000;sv8000;cart;
svmu;svmu;quik;
sys80;sys80;cass;'cloadm\n'
ti99;ti99_4a;cart;
tiger;;;
tutor;tutor;cart;
tvc64;tvc64;quik;
vc4000;vc4000;cart;
vectrex;vectrex;cart;
vg5k;vg5k;cass;'cload\n'
vgmplay;vgmplay;quik;
vidbrain;vidbrain;cart;
vii;vii;cart;
vic10;vic10;cart;
vis;vis;cdrm;
vsmile;vsmile;cart;
xegs;xegs;cart;
